H2;CH4;C2H6;C2H4;C2H2;Fail
2073;85,6;17,4;2,6;0;PD
568;26,5;6,9;2,1;0;PD
279;41;9,7;42;34;PD
3433;180;34,3;3,4;0,3;PD
150;11,6;50,6;29;1,1;PD
1308;125;112;6;0;PD
177,21;13,83;6,6;2,36;0;PD
538,3;12,6;8,67;14,07;0,33;PD
3433;180;34,4;3,6;0,4;PD
181;0,6;0,2;0,2;0;PD
189,93;8,74;1,25;0,04;0,04;PD
242;6;1;4;0;PD
181,5;0,55;0,32;0,278;0;PD
225,4;18,3;7,8;2,7;0;PD
2087;85,3;18,5;2,8;0;PD
2433;117;23;3,2;0,1;PD
626,1;47;8,9;6,1;0,6;PD
481,5;38,1;31;6,7;0;PD
2077;86,2;17,8;2,3;0;PD
791,4;40,54;3,49;0,92;0;PD
765,5;39,71;4,32;0,92;0;PD
226,37;16,85;1,24;0,55;0;PD
244,83;15,05;1,55;0,55;0;PD
230,6;12,45;0,87;0,39;0;PD
238,59;12,86;0,77;0,44;0;PD
151,02;13,05;1,89;1,44;0;PD
180,97;11,69;1,59;1,13;0;PD
62,51;3,36;0,61;0,5;0;PD
155,29;12,08;2,21;1,76;0;PD
133,41;9,97;1,5;1,31;0;PD
171,13;5,88;1,67;0,5;0;PD
177,82;7,58;1,64;0,54;0;PD
194,55;8,01;1,53;0,32;0;PD
152,46;4,98;0,74;0,29;0;PD
173,27;7,45;1,89;0,42;0;PD
41,66;3,11;1,13;0,64;0;PD
150,62;7,37;1,48;0,86;0;PD
164,85;8,04;3,91;0,98;0;PD
76,19;6,61;0,54;0,36;0;PD
537,04;59,45;6,57;4,79;0;PD
502,1;40,55;4,06;1,64;0;PD
316,65;35,28;3,65;1,71;0;PD
354,43;38,57;3,6;1,67;0;PD
423,18;30,77;3,03;1,46;0;PD
421,22;30,87;2,73;1,36;0;PD
370,93;33,46;3,28;1,61;0;PD
371,47;30,71;3,98;1,55;0;PD
342,91;30,78;2,7;1,52;0;PD
409,5;24,76;2,94;1,76;0;PD
370,22;21,22;2,46;1,52;0;PD
658,56;21,63;2,61;2,27;0;PD
171,95;17,74;2,19;1,7;0;PD
112;93,3;123,6;132;0,5;NF
14,67;3,68;2,71;10,54;0,2;NF
14,67;3,68;2,71;10,54;0,2;NF
7,5;5,7;2,6;3,4;3,2;NF
46,1;21,5;15,8;61,5;1,2;NF
21;21;21;12;21;NF
15;12;3,2;5,3;0,2;NF
21;21;21;21;21;NF
5,4;13,7;11,6;4,2;0;NF
46,1;21,5;615;15,8;12;NF
14,67;3,68;10,54;2,71;0,2;NF
31;23;10,6;7,1;0,4;NF
33;26;6;53;0,2;NF
14,5;3,8;105;2,8;0,2;NF
0,33;0,26;0,04;0,27;0;NF
5,8;2,7;1,8;0,8;0;NF
15,02;4,2;9,8;25;0,2;NF
39;24,49;18,4;11,43;6;NF
46,81;35,6;8,51;7;0,28;NF
34,4;2,98;332;27,73;2,5;NF
46;11,58;33,1;8,52;0,63;NF
39,81;24,5;18,37;11,4;6,53;NF
45,6;36,99;7,9;7,52;31;NF
33,6;3,04;33,17;28,5;2,47;NF
41,9;33,61;14,3;8,94;0,6;NF
39,184;24,49;18,367;11,429;6,5306;NF
46,809;36,879;8,5106;7,5177;0,2837;NF
42,017;33,613;14,846;8,9636;0,5602;NF
46,132;11,572;33,145;8,522;0,6289;NF
93,5;36,7;111,2;69,4;1,1;NF
112;93,3;132;123,6;0,5;NF
14,2;4,4;13,96;2,48;0,17;NF
80,6;8,9;5,3;4,7;0,3;NF
15;12;5,3;3,2;0,2;NF
34,1;14;2,5;1,1;0;NF
10,4;7,7;1,6;0,8;0;NF
15,6;2,9;5;41,4;3,9;NF
33,663;2,9703;33,168;27,723;2,4752;NF
46,1;21,5;61,5;15,8;1,2;NF
14,67;3,68;10,54;2,71;0,2;NF
31;23;10,6;7,1;0,4;NF
33;26;6;5,3;0,2;NF
14,5;3,8;10,5;2,8;0,2;NF
0,33;0,26;0,04;0,27;0;NF
100;200;200;200;20;NF
0;225;225;110;3;NF
105;125;71;166;10;NF
100;50;65;50;15;NF
100;70;70;170;10;NF
0;224;224;112;5;NF
200;50;50;200;3;NF
85;0;80;35;70;NF
33,6;3,04;33,17;28,5;2,47;NF
41,9;33,61;14,3;8,94;0,6;NF
3,6;7,3;2,8;1;0,4;NF
15,1;5,7;1,1;1,8;0;NF
29,2;12;2,8;4;0;NF
10;12,9;5,7;2;1;NF
5,3;19,8;4,3;5;0;NF
26;18,5;9,8;6,9;0;NF
9,71;3,44;0,47;0,48;0;NF
9,76;3,48;0,45;0,51;0;NF
9,73;3,41;0,46;0,46;0;NF
9,52;3,27;0,47;0,52;0;NF
9,57;3,36;0,46;0,47;0;NF
9,53;3,32;0,47;0,48;0;NF
9,57;3,28;0,47;0,52;0;NF
9,61;3,26;0,46;0,52;0;NF
7,35;3,1;0,16;0,53;0;NF
7,39;3,03;0,13;0,58;0;NF
10;73,7;18,8;48,6;0,1;NF
12;23,6;7,7;21,4;0,1;NF
14,16;0,57;0;0,27;0;NF
19,19;9,65;3,41;3,89;0;NF
19,18;15,17;3,06;9,9;0;NF
1,04;1,06;0;0,77;0;NF
9,8;6,5;0;0,8;0;NF
0,024;9,228;1,315;0,271;0;NF
0;15,836;1,022;0,33;0;NF
7,3;3,1;0,2;0,4;0,1;NF
9,5;3,5;0,5;0,5;0;NF
13,216;2,207;0,133;0,35;0;NF
5,272;1,303;0;0,07;0;NF
22,685;3,676;0,54;0,55;0;NF
4,8;5,79;0,91;1,23;0;NF
35,6;6,14;0,53;1,43;0;NF
2;5,5;0,52;0,81;0;NF
10,87;7,35;0,1;0,78;0;NF
11,55;5,66;0,58;1,02;0;NF
21,45;7,45;0,46;0,86;0;NF
8,7;13,7;6,1;11,9;0,5;NF
13,7;32,6;18,3;10,3;1,2;NF
21,2;2;0,1;0,3;0;NF
538,9;9,6;0;0;0;NF
1023,8;0;0;0;0;NF
103,9;0;0;0;0;NF
504,5;51;0;0,4;0;NF
62,9;26,2;0;0,1;0;NF
5,6;3,3;0,4;0,3;0;NF
4;4,4;0;0;0;NF
1,8;2,9;0;0;0,1;NF
0,2;13,7;3,7;1,9;0;NF
0,7;9,7;3,4;0,5;0;NF
7,7;1,2;0,1;0,3;0;NF
7,39;1,937;0,171;0,306;0;NF
7,152;2,145;0,037;0,168;0;NF
8,248;2,73;0,199;0,361;0;NF
16,365;32,511;14,32;21,019;0;NF
11,816;50,916;24,568;47,667;0;NF
2,557;8,581;2,843;0,375;0;NF
2,52;7,095;2,579;0,45;0;NF
5,92;2,615;0,388;0,322;0;NF
5,518;5,881;0,805;0,941;0;NF
10,5;4,9;0,3;5,2;0;NF
0,1;4,2;0;1,3;0;NF
11,204;3,612;0,388;0,911;0;NF
7,123;3,714;0,266;2,454;0;NF
9,72;3,73;0,713;0,811;0;NF
42,167;12,42;0,832;0,328;0;NF
5,67;2,4;0;0;0;NF
17,029;12,1;1,158;0,365;0;NF
17,12;9,83;0,91;0,64;0;NF
6,55;8,81;0,99;0,4;0;NF
13,316;19,641;6,892;0,848;0;NF
4,2;4,1;0,4;0,1;0;NF
10,36;18,01;4,6;0;1,28;NF
82,99;6,87;0,46;1,24;0,15;NF
9,45;9,88;1,87;1,65;0;NF
1,54;15,74;7,02;1,56;0;NF
2,05;7,55;5,48;0,81;0;NF
1,77;14,972;12,725;1,45;0;NF
1,62;16,772;8,072;1,87;0;NF
1,08;8,939;6,788;0,908;0;NF
1,21;21,34;14,92;2,03;0;NF
1,67;15,232;6,891;1,658;0;NF
1,175;8,393;5,124;0,807;0;NF
0,937;16,294;10,436;1,275;0;NF
1,53;10,638;4,623;1,067;0;NF
1,082;9,523;5,469;0,756;0;NF
1,46;5,509;2,96;0,634;0;NF
1,062;6,981;5,016;0,757;0;NF
1,138;10,711;6,701;0,779;0;NF
1,51;6,656;3,481;0,8;0;NF
1,025;4,763;3,44;0,832;0;NF
1,643;14,281;2,188;0,515;0;NF
1,171;6,535;4,767;0,257;0;NF
1,452;18,23;12,277;1,631;0;NF
1,477;13,829;6,424;1,408;0;NF
0,704;3,379;2,688;0,366;0;NF
1,534;15,171;13,173;0,391;0;NF
2,123;7,668;5,12;1,141;0;NF
1,534;5,171;3,173;0,391;0;NF
1,831;14,605;1,913;0,439;0;NF
1,359;9,534;0,928;6,606;0;NF
3,015;13,307;2,547;2,547;0;NF
1,567;12,384;6,094;1,379;0;NF
1,703;11,834;7,37;1,146;0;NF
1,477;16,061;1,936;1,429;0;NF
1,567;9,603;5,526;1,445;0;NF
1,703;10,785;7,297;1,082;0;NF
0,654;15,308;11,281;1,336;0;NF
2,672;9,131;4,872;1,123;0;NF
1,703;9,43;6,53;0,94;0;NF
0,654;11,595;9,483;1,165;0;NF
1,71;8,092;6,519;0,928;0;NF
0,718;12,771;12,2;0,296;0;NF
0,591;15,204;10,927;1,309;0;NF
1,24;13,609;5,611;5,611;0;NF
0,823;12,29;7,26;1,03;0;NF
0,591;11,27;10,05;1,16;0;NF
1,698;13,609;5,611;5,611;0;NF
1,23;13,58;7,59;1,25;0;NF
1,6;12,431;7,802;1,323;0;NF
1,698;22,448;11,326;2,507;0;NF
1,23;11,38;7,3;1;0;NF
1,6;17,23;11,65;1,43;0;NF
1,698;13,51;6,73;1,37;0;NF
1,83;16,71;11,99;1,82;0;NF
0,645;8,453;4,734;1,162;0;NF
2,334;13,081;8,834;1,526;0;NF
2,922;13,032;9,004;4,653;0;NF
2,432;13,081;8,834;1,526;0;NF
1,72;16,8;11,58;1,49;0;NF
0,79;15,89;6,43;1,5;0;NF
8,36;12,168;7,828;1,143;0;NF
0,989;16,601;12,22;1,492;0;NF
1,676;13,533;7,242;1,498;0;NF
1,252;10,02;7,655;1,153;0;NF
0,988;13,302;8,236;0,974;0;NF
2,13;7,73;5,54;1,08;0;NF
1,23;7,2;6,08;0,86;0;NF
0,984;13,203;10,9;1,413;0;NF
1,43;9,83;5,64;1,2;0;NF
1,77;13,84;7,62;1,3;0;NF
0,976;10,385;10,006;1,172;0;NF
0,89;12,17;5,18;1,53;0;NF
0,61;12,79;8,77;1,17;0;NF
1,93;9,31;5,37;1,14;0;NF
1,98;8,29;5,87;0,99;0;NF
0,983;10;8,67;1,02;0;NF
1,39;11,17;5,19;1,19;0;NF
1,85;13,77;8,1;1,17;0;NF
1,59;12,06;9,45;1,3;0;NF
1,39;10,8;5,13;1,17;0;NF
0,99;12,57;7,29;1,42;0;NF
1,34;14,75;10,78;1,47;0;NF
1,98;12,13;6,07;1,3;0;NF
2,16;12,99;8,22;1,14;0;NF
1,9;17,93;12,36;1,55;0;NF
1,85;14,79;6,21;1,5;0;NF
2,05;13,17;9,86;1,38;0;NF
1,61;16,57;11,76;1,15;0;NF
32;10,7;1,5;1,2;0;NF
17;2,9;1,4;0,9;0;NF
23;3,2;1,7;0,6;0;NF
23;3,2;1,5;0,8;0;NF
13;4,2;0,4;0,4;0;NF
52;30,9;4,8;3,1;0;NF
14,2;18,1;4,82;0,87;0;NF
12,4;16,1;4,95;0,85;0;NF
13,5;18;4,13;0,77;0;NF
13,1;15,6;4,85;0,78;0;NF
13,3;17,7;4,48;0,73;0;NF
12;15,4;4,57;0,73;0;NF
12;16,1;4,95;0,85;0;NF
12,2;16,8;4,1;0,75;0;NF
12,5;18,5;4,17;0,79;0;NF
12,7;16,4;4,12;0,72;0;NF
12,8;17;4,31;0,84;0;NF
13,8;15,5;4,34;0,81;0;NF
11,9;17,6;4,88;0,83;0;NF
12,9;16,2;4,31;0,78;0;NF
13,8;16,6;4,22;0,81;0;NF
12,5;16;4,85;0,73;0;NF
11,7;18,6;4,09;0,78;0;NF
12,5;18,1;4,95;0,76;0;NF
11,8;16,3;4,32;0,77;0;NF
12,9;15,6;4,82;0,84;0;NF
13;18,2;4,17;0,76;0;NF
12,1;16,1;4,86;0,86;0;NF
12;17,4;4,18;0,81;0;NF
13,3;17,8;4,19;0,83;0;NF
13,8;16,3;4,3;0,78;0;NF
13,1;17,2;4,53;0,87;0;NF
13,4;17,1;4,34;0,88;0;NF
12,4;16;4,67;0,87;0;NF
12,9;15,3;4,13;0,74;0;NF
12,7;15,6;4,4;0,82;0;NF
13,2;18,5;4,66;0,83;0;NF
14,2;17,3;4,06;0,82;0;NF
12,3;15,7;4,69;0,81;0;NF
12;18,2;4,73;0,74;0;NF
12,7;15,6;4,4;0,82;0;NF
12,1;16,4;4,93;0,75;0;NF
12,1;15,9;4,06;0,73;0;NF
13,8;17,3;4,45;0,83;0;NF
13,1;17,3;4,95;0,76;0;NF
12,5;16,8;4,55;0,79;0;NF
13,9;16,8;4,21;0,77;0;NF
11,9;17,1;4,38;0,8;0;NF
13,5;17,9;4,64;0,87;0;NF
12,7;18,4;4,8;0,75;0;NF
13,9;15,4;4,26;0,81;0;NF
12,5;17,8;4,37;0,8;0;NF
13,1;15,9;4,24;0,81;0;NF
13,1;15,9;4,24;0,81;0;NF
13,1;15,9;4,24;0,81;0;NF
11,7;17,4;4,08;0,76;0;NF
13,3;15,6;4,92;0,81;0;NF
13;16,3;4,31;0,8;0;NF
13,7;15,9;4,79;0,81;0;NF
13,9;17,5;4,86;0,73;0;NF
13,5;15,8;4,79;0,77;0;NF
13,3;16,1;4,39;0,79;0;NF
12,5;18,5;4,15;0,78;0;NF
12,4;15,9;4,25;0,75;0;NF
13,2;17,3;4,78;0,8;0;NF
12,2;16,6;4,71;0,83;0;NF
13,3;17,8;4,19;0,73;0;NF
14,1;15,4;4,23;0,87;0;NF
13,1;16,8;4,35;0,82;0;NF
11,8;17,4;4,37;0,86;0;NF
12,2;16,6;4,36;0,78;0;NF
12,2;16,6;4,71;0,83;0;NF
11,9;18,4;4,35;0,73;0;NF
13,4;16,9;4,55;0,78;0;NF
13,8;16,6;4,45;0,86;0;NF
13,8;18,1;4,46;0,83;0;NF
13,3;16,3;4,43;0,86;0;NF
13,6;16;4,13;0,75;0;NF
12,3;18,4;4,75;0,8;0;NF
12,8;17,2;4,93;0,8;0;NF
11,9;18;4,95;0,83;0;NF
12,3;17,3;4,31;0,87;0;NF
13,5;17,1;4,66;0,84;0;NF
11,7;16,2;4,21;0,84;0;NF
12,4;16,6;4,92;0,81;0;NF
12,7;16,8;4,92;0,78;0;NF
13,1;17,5;4,74;0,76;0;NF
13,5;17,7;4,4;0,75;0;NF
13,1;18,3;4,75;0,84;0;NF
14;18,6;4,67;0,76;0;NF
13,8;18,2;4,7;0,74;0;NF
12,7;18,4;4,94;0,74;0;NF
12,8;16,8;4,74;0,81;0;NF
12,1;17;4,93;0,79;0;NF
12,4;15,4;4,48;0,83;0;NF
14,1;17,5;4,15;0,77;0;NF
12;15,7;4,08;0,83;0;NF
12,2;17,7;4,31;0,83;0;NF
12,5;15,4;4,39;0,84;0;NF
12,5;15,6;4,13;0,75;0;NF
12,6;18,2;4,79;0,84;0;NF
13,4;18,2;4,23;0,86;0;NF
12,9;18,3;4,61;0,76;0;NF
13,4;18,1;4,9;0,79;0;NF
13,4;16,9;4,07;0,82;0;NF
12;15,3;4,72;0,81;0;NF
12,6;18,1;4,18;0,76;0;NF
13,9;18;4,84;0,86;0;NF
12,4;16,4;4,58;0,84;0;NF
11,7;17,2;4,71;0,78;0;NF
13,3;16;4,85;0,73;0;NF
14;15,6;4,45;0,74;0;NF
14,1;17,5;4,15;0,77;0;NF
12;15,7;4,08;0,83;0;NF
13,4;17;4,9;0,79;0;NF
11,7;16,1;4,44;0,79;0;NF
12,7;18,3;4,56;0,73;0;NF
13,2;16,9;4,06;0,82;0;NF
13,6;18,1;4,72;0,74;0;NF
12,6;17,1;4,3;0,78;0;NF
14,1;15,7;4,74;0,78;0;NF
12,8;15,8;4,09;0,77;0;NF
14;17,4;4,85;0,79;0;NF
13;16,6;4,65;0,77;0;NF
12,6;16,6;4,14;0,87;0;NF
13,7;16,5;4,73;0,78;0;NF
11,9;16,9;4,16;0,84;0;NF
14,1;17,6;4,38;0,79;0;NF
13,9;18,4;4,21;0,82;0;NF
14,2;15,3;4,76;0,78;0;NF
12,1;15,6;4,87;0,81;0;NF
12,8;15,8;4,09;0,77;0;NF
12,1;15,8;4,57;0,78;0;NF
13,1;15,6;4,88;0,81;0;NF
11,9;16,3;4,4;0,72;0;NF
12,5;18,7;4,49;0,87;0;NF
14,1;17,1;4,81;0,81;0;NF
13,2;15,6;4,47;0,77;0;NF
12,9;18,2;4,91;0,84;0;NF
11,9;16,9;4,25;0,81;0;NF
13,1;15,8;4,65;0,88;0;NF
12,7;17,8;4,7;0,74;0;NF
12,3;18,1;4,67;0,83;0;NF
11,9;16;4,38;0,88;0;NF
13,5;15,4;4,88;0,8;0;NF
14;16,5;4,84;0,83;0;NF
14,1;15,4;4,81;0,83;0;NF
14;18,7;4,19;0,88;0;NF
11,7;16,5;4,12;0,85;0;NF
13,4;17,5;4,12;0,86;0;NF
12,6;16,7;4,39;0,72;0;NF
12,6;16,7;4,39;0,72;0;NF
12,7;17,2;4,69;0,81;0;NF
12,7;17,2;4,69;0,81;0;NF
12,6;16,7;4,39;0,72;0;NF
12,6;16,7;4,39;0,72;0;NF
13,5;17,7;4,22;0,73;0;NF
12,7;17,9;4,14;0,83;0;NF
13,5;15,3;4,32;0,84;0;NF
12,7;15,6;4,59;0,79;0;NF
12,5;16,6;4,28;0,81;0;NF
13,4;16,7;4,15;0,73;0;NF
12,4;15,8;4,08;0,77;0;NF
12,2;17,7;4,67;0,88;0;NF
12,7;17,2;4,69;0,81;0;NF
13,1;16,3;4,32;0,72;0;NF
11,7;18,6;4,54;0,74;0;NF
12,7;17,8;4,33;0,75;0;NF
12;17,2;4,5;0,73;0;NF
12,6;17,1;4,13;0,78;0;NF
13,6;16,6;4,31;0,78;0;NF
13,3;16,9;4,59;0,73;0;NF
12,3;17;4,51;0,83;0;NF
11,7;18,4;4,09;0,82;0;NF
12,3;17;4,51;0,83;0;NF
11,9;15,7;4,28;0,82;0;NF
11,8;18,6;4,69;0,76;0;NF
12;17,8;4,3;0,78;0;NF
12,8;15,6;4,74;0,73;0;NF
12,1;17;4,85;0,87;0;NF
13,2;16,3;4,55;0,87;0;NF
12,7;18,6;4,43;0,74;0;NF
13,6;18,1;4,27;0,78;0;NF
13,6;16,7;4,47;0,83;0;NF
13,3;16,4;4,29;0,88;0;NF
12,6;17,2;4,74;0,86;0;NF
12,9;17,8;4,34;0,83;0;NF
11,8;18,6;4,86;0,87;0;NF
12,9;16,2;4,58;0,86;0;NF
12,8;17,1;4,63;0,82;0;NF
13,9;17,1;4,48;0,77;0;NF
11,7;18,4;4,09;0,82;0;NF
11,8;15,8;4,62;0,72;0;NF
12,2;16,5;4,1;0,74;0;NF
12,3;15,5;4,24;0,81;0;NF
13,3;16,6;4,34;0,81;0;NF
11,7;17,7;4,54;0,83;0;NF
12,9;17,2;4,83;0,81;0;NF
11,7;17,7;4,83;0,85;0;NF
13,8;15,7;4,15;0,74;0;NF
13,2;16,7;4,29;0,83;0;NF
12,2;17,3;4,74;0,8;0;NF
13,6;17,8;4,95;0,87;0;NF
12,2;16,1;4,2;0,85;0;NF
12,2;18;4,16;0,82;0;NF
13;18;4,18;0,87;0;NF
12,8;16,8;4,5;0,84;0;NF
12,4;16,4;4,84;0,86;0;NF
13;18,6;4,4;0,85;0;NF
12,7;15,4;4,51;0,76;0;NF
14;16,2;4,94;0,82;0;NF
12,1;15,9;4,55;0,88;0;NF
14;17,8;4,34;0,8;0;NF
12,8;17,9;4,78;0,84;0;NF
13,6;16;4,43;0,77;0;NF
11,8;16,3;4,27;0,81;0;NF
13,7;17,5;4,33;0,82;0;NF
13,9;18,3;4,88;0,81;0;NF
12;17;4,09;0,73;0;NF
13;18,6;4,42;0,88;0;NF
13,3;18;4,44;0,87;0;NF
11,8;16,2;4,15;0,79;0;NF
12,7;17,4;4,1;0,84;0;NF
12,6;18,1;4,17;0,76;0;NF
12,2;17,9;4,22;0,74;0;NF
12,4;18,1;4,25;0,73;0;NF
13,6;18;4,62;0,73;0;NF
11,7;18,3;4,3;0,85;0;NF
11,9;16,2;4,52;0,86;0;NF
12,6;15,7;4,39;0,79;0;NF
13,6;18;4,64;0,73;0;NF
13,2;17,7;4,31;0,87;0;NF
12,2;16,6;4,82;0,74;0;NF
14,2;18,4;4,86;0,82;0;NF
12,4;16,7;4,48;0,8;0;NF
13,6;15,7;4,75;0,73;0;NF
13,7;18,1;4,24;0,84;0;NF
12,6;18,4;4,71;0,86;0;NF
13,8;16,4;4,19;0,74;0;NF
13,5;15,7;4,4;0,76;0;NF
13,6;17,2;4,18;0,88;0;NF
12,3;17,2;4,32;0,77;0;NF
13,4;16,1;4,21;0,82;0;NF
12,4;16,4;4,87;0,86;0;NF
13,3;16;4,06;0,86;0;NF
14,2;18;4,5;0,73;0;NF
12,9;15,8;4,75;0,77;0;NF
13,1;17,1;4,07;0,78;0;NF
11,9;17,6;4,12;0,85;0;NF
12,6;17,7;4,72;0,83;0;NF
12,7;15,3;4,44;0,84;0;NF
13,5;18,4;4,41;0,73;0;NF
13,9;16,9;4,49;0,73;0;NF
13,9;15,6;4,45;0,82;0;NF
13,6;15,4;4,33;0,86;0;NF
13,3;16,9;4,56;0,72;0;NF
12,6;16,6;4,27;0,79;0;NF
12,3;18,3;4,34;0,85;0;NF
14,2;16,6;4,8;0,74;0;NF
13,1;15,4;4,37;0,81;0;NF
11,7;18,5;4,63;0,77;0;NF
12,8;18,1;4,47;0,86;0;NF
14,1;16,6;4,69;0,85;0;NF
13,3;16,9;4,93;0,77;0;NF
11,9;17,5;4,47;0,87;0;NF
13,6;17,4;4,21;0,78;0;NF
13,1;16,8;4,09;0,8;0;NF
13,2;18,4;4,12;0,79;0;NF
13,7;16,6;4,17;0,86;0;NF
13;17,9;4,24;0,72;0;NF
13,7;15,3;4,9;0,86;0;NF
12,6;17,4;4,46;0,72;0;NF
9,3;18,6;5,69;0,7;0;NF
9,42;17;5,56;0,66;0;NF
9,7;17,4;5,83;0,74;0;NF
9,14;18,4;5,31;0,71;0;NF
9,59;17,2;5,09;0,65;0;NF
9,1;17,2;5,15;0,75;0;NF
8,55;15,3;5,25;0,65;0;NF
8,32;16,9;5,24;0,67;0;NF
9,85;17;5,59;0,66;0;NF
8,39;17,2;6,01;0,66;0;NF
9,39;17,3;5,65;0,71;0;NF
8,41;17,5;5,21;0,68;0;NF
9,67;18,4;5,22;0,72;0;NF
9,06;17,8;6,13;0,64;0;NF
8,78;17,4;5,86;0,7;0;NF
8,18;16,8;5,65;0,76;0;NF
8,48;17,8;5,18;0,73;0;NF
8,92;17,1;5,92;0,66;0;NF
8,96;16,5;6,06;0,63;0;NF
8,14;15,6;6,08;0,73;0;NF
8,73;17,2;6,16;0,65;0;NF
8,7;16,8;6,15;0,7;0;NF
8,17;16;6,09;0,69;0;NF
9,57;18,5;5,34;0,71;0;NF
8,53;18,5;5,52;0,7;0;NF
8,39;16,4;5,32;0,72;0;NF
9,35;16;5,49;0,74;0;NF
9,76;17;5,71;0,65;0;NF
9,8;15,9;5,93;0,74;0;NF
12,8;18,2;4,22;0,72;0;NF
12,6;17,5;4,69;0,74;0;NF
13,8;16,3;4,51;0,74;0;NF
12,9;17,8;4,91;0,79;0;NF
14,1;16,2;4,75;0,77;0;NF
12,2;17,2;4,39;0,82;0;NF
13,1;17,9;4,5;0,74;0;NF
13,7;17,9;4,34;0,77;0;NF
14,1;16,2;4,94;0,74;0;NF
11,7;16,1;4,56;0,78;0;NF
14,1;15,7;4,45;0,76;0;NF
12,4;17,7;4,79;0,8;0;NF
12,6;16,8;4,76;0,75;0;NF
14;17,3;4,75;0,77;0;NF
12,1;16;4,28;0,8;0;NF
12,8;17,3;4,7;0,77;0;NF
11,7;16,4;4,62;0,73;0;NF
14,2;18,5;4,32;0,75;0;NF
14;15,7;4,55;0,76;0;NF
13,6;16,4;4,42;0,87;0;NF
13;15,9;4,1;0,87;0;NF
12,3;18;4,67;0,73;0;NF
13,5;16,2;4,73;0,77;0;NF
12,8;16,8;4,85;0,72;0;NF
13;15,6;4,75;0,79;0;NF
12,7;15,5;4,71;0,82;0;NF
12;16;4,37;0,79;0;NF
13,9;17,6;4,36;0,84;0;NF
13,1;17,7;4,09;0,82;0;NF
13,3;17,6;4,62;0,81;0;NF
14;15,7;4,27;0,74;0;NF
14,1;17,3;4,66;0,78;0;NF
11,8;18;4,55;0,73;0;NF
13,6;16,4;4,42;0,87;0;NF
12,7;17,8;4,37;0,8;0;NF
13,2;17,7;4,95;0,79;0;NF
14,3;16,9;4,6;0,8;0;NF
11,8;17,7;4,62;0,78;0;NF
13,9;15,4;4,76;0,8;0;NF
12,5;16,7;4,86;0,79;0;NF
14;15,7;4,2;0,77;0;NF
13,2;18,2;4,35;0,8;0;NF
13,8;17,6;4,57;0,75;0;NF
14,1;17,4;4,91;0,73;0;NF
12,7;15,7;4,63;0,84;0;NF
13,3;18,6;4,45;0,74;0;NF
13,9;18,4;4,5;0,76;0;NF
12,3;15,7;4,86;0,75;0;NF
13,9;17,6;4,13;0,77;0;NF
13;18,4;4,9;0,8;0;NF
13,2;15,9;4,53;0,82;0;NF
12,2;17,7;4,16;0,79;0;NF
13,2;15,9;4,53;0,82;0;NF
12,7;17,1;4,4;0,77;0;NF
13,2;16,5;4,57;0,86;0;NF
11,9;16,4;4,56;0,76;0;NF
13,5;18;4,75;0,73;0;NF
11,9;18,4;4,17;0,79;0;NF
13,9;16;4,13;0,83;0;NF
11,9;18,2;4,74;0,82;0;NF
13,1;16,2;4,83;0,77;0;NF
13,9;15,9;4,29;0,81;0;NF
12,6;17,4;4,25;0,86;0;NF
12,1;16,8;4,27;0,87;0;NF
13,1;18,1;4,16;0,73;0;NF
14,2;16,9;4,18;0,77;0;NF
13,2;16,4;4,84;0,83;0;NF
13,6;15,9;4,91;0,87;0;NF
12,3;16,1;4,46;0,84;0;NF
13,9;18,6;4,57;0,77;0;NF
14,1;18;4,61;0,78;0;NF
12,4;15,4;4,57;0,81;0;NF
12,3;18,5;4,31;0,78;0;NF
12,3;16,1;4,46;0,84;0;NF
13,6;15,6;4,22;0,77;0;NF
11,9;17;4,68;0,87;0;NF
13,9;15,9;4,29;0,81;0;NF
13,9;18,6;4,57;0,77;0;NF
11,9;15,9;4,31;0,8;0;NF
12,9;16,9;4,13;0,77;0;NF
12,2;17,3;4,94;0,87;0;NF
13,6;18,5;4,35;0,78;0;NF
13,6;16,9;4,15;0,77;0;NF
14;18,5;4,55;0,72;0;NF
13,6;18,6;4,83;0,87;0;NF
12,5;17,5;4,28;0,74;0;NF
12,3;17,5;4,44;0,85;0;NF
12,7;17,5;4,18;0,75;0;NF
13;17,2;4,58;0,75;0;NF
13,7;17,3;4,54;0,8;0;NF
13,1;17,4;4,8;0,77;0;NF
12;17,5;4,16;0,75;0;NF
13,2;18,4;4,14;0,79;0;NF
13,4;17,1;4,3;0,77;0;NF
11,8;15,5;4,76;0,82;0;NF
12,7;16,8;4,3;0,87;0;NF
13,4;16,3;4,65;0,84;0;NF
13,9;17;4,65;0,87;0;NF
13;16,1;4,67;0,81;0;NF
12,9;16,6;4,34;0,83;0;NF
13;16,1;4,67;0,81;0;NF
13,8;16,4;4,86;0,83;0;NF
13,3;18,3;4,76;0,84;0;NF
12,2;17,3;4,17;0,79;0;NF
12,4;16,5;4,41;0,78;0;NF
12,2;17,3;4,17;0,79;0;NF
13,9;16,3;4,42;0,85;0;NF
13,9;16,6;4,86;0,79;0;NF
13,7;15,4;4,65;0,83;0;NF
12,5;15,5;4,92;0,73;0;NF
12,9;17,3;4,7;0,75;0;NF
12,4;15,5;4,45;0,77;0;NF
13,6;17,8;4,94;0,87;0;NF
13,7;15,9;4,66;0,88;0;NF
14,2;16,8;4,09;0,85;0;NF
